restaurant_name,url,judgment,confidence,reason,address,rating,phone_number,screenshot_taken,timestamp
Cafe Masala By Miah Bishop’s Stortford,https://cafemasalatakeaway.com/,Outdated,85,"The website design appears outdated due to its fixed-width layout, lack of modern typography, and minimal use of white space. The color scheme and visual hierarchy are not aligned with current design trends, and the navigation patterns seem basic and not optimized for mobile-first design principles.","10 London Rd, Bishop's Stortford CM23 5ND, UK",4.3,01279 505665,True,2025-07-27T12:03:11.048195
Harvest Moon,https://www.greeneking.co.uk/pubs/hertfordshire/harvest-moon?utm_source=g_places&utm_medium=locations&utm_campaign=PK_pubpage,Modern,90,"The website features a responsive layout with a clear grid system, modern typography, and a clean color scheme. The navigation is intuitive, and the use of white space enhances readability. The design aligns with current trends, emphasizing visual hierarchy and mobile-first principles.","Friedberg Ave, Bishop's Stortford CM23 4RF, UK",4.0,01279 836303,True,2025-07-27T12:03:26.379416
Rosey Lea Tea Rooms and Cafe,http://www.roseylea.com/,Modern,85,"The website features a responsive layout with a clear grid system, modern typography, and a cohesive color scheme. The navigation is intuitive, and the use of white space is effective, aligning with current design trends and mobile-first principles.","12 Market Square, Bishop's Stortford CM23 3UU, UK",4.2,01279 505414,True,2025-07-27T12:03:46.402146
Shekos Kebab House,https://www.shekoskebab.co.uk/,Outdated,85,"The website design appears outdated due to its fixed-width layout, lack of modern typography, and basic color scheme. The navigation and UI elements are simplistic and do not reflect current design trends. Additionally, the use of white space and content density does not align with mobile-first design principles.","40 North St, Bishop's Stortford CM23 2LR, UK",4.1,01279 755408,True,2025-07-27T12:04:01.118493
Ashoka Indian Takeaway Bishop’s Stortford,https://ashokahertsonline.co.uk/,Outdated,85,"The website design appears outdated due to its fixed-width layout, use of default system fonts, and lack of modern visual hierarchy. The navigation and UI elements seem cluttered, and there is insufficient use of white space, which affects readability and overall aesthetics. The design does not seem to follow mobile-first principles, and the color scheme lacks sophistication.","4 Stansted Rd, Bishop's Stortford CM23 2DX, UK",4.0,01279 655385,True,2025-07-27T12:04:12.683449
"fishnchickn Thorley, Bishops Stortford",https://fishnchickn.co.uk/?y_source=1_MjYwMDU4NjYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Modern,85,"The website uses a responsive layout with a clear grid system, modern typography, and a vibrant color scheme that enhances visual hierarchy. The navigation is minimalistic, and the design incorporates mobile-first principles with ample white space, contributing to a clean and sophisticated look.","8 Thorley Ln E, Bishop's Stortford CM23 4EG, UK",4.1,01279 466283,True,2025-07-27T12:04:29.887775
Le Raj Tandoori,https://lerajonline.com/yFGq,Outdated,90,"The website design appears outdated due to its fixed-width layout, use of default system fonts, and lack of a modern grid system. The color scheme lacks visual hierarchy, and the navigation patterns and UI elements seem cluttered and not aligned with current design trends. Additionally, there is minimal use of white space, leading to a dense content presentation.","Millers Close, Southmill Rd, Bishop's Stortford CM23 3DH, UK",2.9,01279 466859,True,2025-07-27T12:04:44.324144
Host Grill Restaurant Bishop’s Stortford,http://www.hostrestaurant.co.uk/,Modern,90,"The website features a responsive layout with a clear grid system, modern typography, and a sophisticated color scheme. The navigation is intuitive, and the use of white space enhances readability and visual appeal. The design aligns with current trends, emphasizing a clean and elegant aesthetic.","4 Market Square, Bishop's Stortford CM23 3UU, UK",4.3,01279 657000,True,2025-07-27T12:05:04.085152
Shadhona Bishop’s Stortford,https://shadhona.com/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,Outdated,90,"The website uses a fixed-width layout with a lack of responsiveness, which is not aligned with modern design trends. The typography appears to rely on default system fonts rather than modern web fonts. The color scheme and visual hierarchy are basic, and the navigation patterns and UI elements are simplistic. Overall, the design lacks the sophistication and mobile-first principles seen in contemporary websites, with dense content and minimal white space usage.","69 South St, Bishop's Stortford CM23 3AL, UK",4.2,01279 508149,True,2025-07-27T12:05:26.414338
Côte Bishop's Stortford,https://www.cote.co.uk/restaurant/bishops-stortford?utm_source=google&utm_medium=organic&utm_campaign=google+my+business,Modern,90,"The website features a responsive layout with a clear grid system, modern typography, and a sophisticated color scheme. The navigation is intuitive, and the use of white space is effective, aligning with current design trends. The design appears to follow mobile-first principles, enhancing its modern appeal.","17 North St, Bishop's Stortford CM23 2LD, UK",4.4,01279 657190,True,2025-07-27T12:05:37.266657
Huckleberrys (Huckleberry Chicken) Bishops Stortford,https://huckleberrybishopsstortford.co.uk/,Modern,90,"The website features a responsive layout with a clear grid system, modern typography, and a visually appealing color scheme. The use of large, high-quality images and a clean, minimalistic design aligns with current design trends. Navigation is intuitive, and the design incorporates mobile-first principles with ample white space, enhancing readability and user experience.","3 Northgate End, Bishop's Stortford CM23 2ET, UK",3.3,01279 503547,True,2025-07-27T12:05:50.113173
Pircio,http://pirciorestaurant.com/,Modern,90,"The website design features a responsive layout with a clear grid system, modern typography, and a sophisticated color scheme. The use of white space is effective, and the visual hierarchy is well-structured. Navigation patterns and UI elements are intuitive, aligning with current design trends and mobile-first principles.","Drill Hall, Market Square, Bishop's Stortford CM23 3UU, UK",4.6,01279 898181,True,2025-07-27T12:06:08.148611
Rustico,https://2map.top/rustico,Modern,90,"The website features a clean and minimalistic design with a responsive layout, modern typography, and a clear visual hierarchy. The use of white space is effective, and the navigation is straightforward, aligning with current design trends. The color scheme is simple yet effective, and the overall design appears to be mobile-first.","5 Church St, Bishop's Stortford CM23 2LY, UK",4.5,01279 506442,True,2025-07-27T12:06:36.450207
Petrucci's Artisan Stonebaked Pizza,https://www.petruccispizza.co.uk/,Outdated,85,"The website uses a fixed-width layout and lacks a modern grid system. The typography appears to rely on default system fonts rather than modern web fonts. The color scheme is basic and lacks a sophisticated visual hierarchy. Navigation patterns and UI elements seem traditional and not aligned with current trends. The design does not appear to follow mobile-first principles, and there is limited use of white space, leading to a dense content presentation.","23 Potter St, Bishop's Stortford CM23 3UH, UK",4.7,01279 755899,True,2025-07-27T12:06:46.596540
Cibo,http://www.cibosiciliankitchen.co.uk/,Outdated,85,"The website design appears outdated due to its fixed-width layout and lack of responsiveness. The typography uses default system fonts rather than modern web fonts, and the color scheme lacks a clear visual hierarchy. The navigation patterns and UI elements are simplistic and do not align with current design trends. Additionally, the design does not seem to follow mobile-first principles, and there is a lack of effective use of white space, leading to a cluttered appearance.","34 South St, Bishop's Stortford CM23 3AZ, UK",4.4,01279 653068,True,2025-07-27T12:07:05.339517
Skew Restaurant & Cocktail Bar,https://www.skewrestaurant.com/,Outdated,85,"The website design appears outdated due to its fixed-width layout, lack of modern typography, and minimal use of white space. The color scheme lacks contrast and visual hierarchy, and the navigation elements are not aligned with current trends. The overall design does not reflect mobile-first principles or modern web design aesthetics.","4 Adderley Rd, Bishop's Stortford CM23 3AE, UK",4.5,01279 653635,True,2025-07-27T12:07:18.218593
